# t MDEC_CT MIXS2 a state off enabled CA FEGv low band
440 c26d 0 3ff 3 1 0 0 1bff 0 0
441 c26c 0 3ff 3 1 0 0 1bff 0 0
442 c26b 0 3ff 3 1 0 0 1bff 0 0
443 c26a 0 3ff 3 1 0 0 1bff 0 0
444 c269 0 3ff 3 1 0 0 1bff 0 0
445 c268 0 3ff 3 1 0 0 1bff 0 0
446 c267 0 3ff 3 1 0 0 1bff 0 0
447 c266 0 3ff 3 1 0 0 1bff 0 0
448 c265 0 3ff 3 1 0 0 1bff 0 0
449 c264 0 3ff 3 1 0 0 1bff 0 0
450 c263 0 3ff 3 1 0 0 1bff 0 0
451 c262 0 3ff 3 1 0 0 1bff 0 0
452 c261 0 3ff 3 1 0 0 1bff 0 0
453 c260 0 3ff 3 1 0 0 1bff 0 0
454 c25f 0 3ff 3 1 0 0 1bff 0 0
